Date,Username,Message,IP Address,Log Level
2014-02-20 15:27:13,Jeff,Accessed Trigger Actions,192.168.1.148,info
2014-02-20 15:27:17,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-20 15:27:20,Jeff,Accessed Triggers,192.168.1.148,info
2014-02-20 15:27:28,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-20 15:27:32,Jeff,Accessed Trigger Actions,192.168.1.148,info
2014-02-20 15:28:35,Jeff,Added trigger action for Device DoorSensor with no child device successfully,192.168.1.148,notice
2014-02-20 15:28:44,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-20 15:28:47,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-20 15:28:58,Jeff,Accessed Trigger Actions,192.168.1.148,info
2014-02-20 15:29:09,Jeff,Updated trigger action for Device DoorSensor and no child device successfully,192.168.1.148,notice
2014-02-20 15:29:25,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-20 15:29:27,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-20 15:29:51,Jeff,Accessed Trigger Actions,192.168.1.148,info
2014-02-20 15:31:14,Jeff,Accessed System Information,192.168.1.148,info
2014-02-20 15:31:20,Jeff,Accessed Start/Stop GPAC,192.168.1.148,info
2014-02-20 15:31:24,Jeff,Started GPAC successfully,192.168.1.148,info
2014-02-20 15:31:25,Jeff,Accessed System Information,192.168.1.148,info
2014-02-20 15:31:42,Jeff,Accessed Log Book,192.168.1.148,info
2014-02-20 15:31:43,Jeff,Accessed View Logs,192.168.1.148,info
2014-02-20 15:32:18,Jeff,Accessed Network Configuration,192.168.1.148,info
2014-02-20 15:32:25,Jeff,Accessed System Configuration,192.168.1.148,info
2014-02-20 15:35:18,Jeff,System Configuration updated successfully,192.168.1.148,notice
2014-02-20 15:35:30,Jeff,System Configuration updated successfully,192.168.1.148,notice
2014-02-20 15:35:50,Jeff,Accessed View Logs,192.168.1.148,info
2014-02-20 15:38:51,Jeff,Accessed System Configuration,192.168.1.148,info
2014-02-20 15:40:26,Jeff,System Configuration updated successfully,192.168.1.148,notice
2014-02-20 15:51:24,Jeff,Accessed View Logs,192.168.1.148,info
2014-02-20 16:20:40,Jeff,Acknowledged Alarm 36 successfully,192.168.1.148,notice
2014-02-20 16:20:52,Jeff,Accessed Trigger Actions,192.168.1.148,info
2014-02-20 16:21:09,Jeff,Updated trigger action for Device DoorSensor and no child device successfully,192.168.1.148,notice
2014-02-20 16:21:14,Jeff,Acknowledged Alarm 37 successfully,192.168.1.148,notice
2014-02-20 16:21:17,Jeff,Accessed View Logs,192.168.1.148,info
2014-02-20 17:42:50,Jeff,Accessed Start/Stop GPAC,192.168.1.148,info
2014-02-20 17:42:52,Jeff,Stopped GPAC successfully,192.168.1.148,info
2014-02-20 17:42:54,Jeff,Accessed View Logs,192.168.1.148,info
2014-02-20 17:43:05,Jeff,Accessed Trigger Actions,192.168.1.148,info
2014-02-20 17:43:16,Jeff,Updated trigger action for Device DoorSensor and no child device successfully,192.168.1.148,notice
2014-02-20 17:43:20,Jeff,Accessed View Logs,192.168.1.148,info
2014-02-21 08:19:56,sahid,GPAC System successfully authenticated,76.102.160.28,notice
2014-02-21 08:19:58,sahid,Accessed Overview,76.102.160.28,info
2014-02-21 08:20:03,sahid,Accessed View Logs,76.102.160.28,info
2014-02-21 08:20:13,sahid,Accessed Device Matrix,76.102.160.28,info
2014-02-21 08:20:16,sahid,Accessed Camera Matrix,76.102.160.28,info
2014-02-21 08:20:22,sahid,Accessed Device Matrix,76.102.160.28,info
2014-02-21 08:20:27,sahid,Logged out,76.102.160.28,notice
2014-02-21 10:19:02,sahid,GPAC System successfully authenticated,174.254.224.250,notice
2014-02-21 10:19:09,sahid,Accessed Overview,174.254.224.250,info
2014-02-21 10:19:24,sahid,Accessed System Configuration,174.254.224.250,info
2014-02-21 10:19:48,sahid,Accessed Camera Matrix,174.254.224.250,info
2014-02-21 10:20:32,sahid,Accessed Device Matrix,174.254.224.250,info
2014-02-21 10:20:39,sahid,Accessed Device Table,174.254.224.250,info
2014-02-21 10:23:59,sahid,Accessed Device Matrix,174.254.224.250,info
2014-02-21 10:24:46,sahid,Accessed Device Table,174.254.224.250,info
2014-02-21 10:25:31,sahid,Accessed Device Matrix,174.254.224.250,info
2014-02-21 10:25:38,sahid,Accessed Device Table,174.254.224.250,info
2014-02-21 10:26:36,sahid,Accessed Device Matrix,174.254.224.250,info
2014-02-21 10:26:52,sahid,Accessed Camera Matrix,174.254.224.250,info
2014-02-21 10:29:07,sahid,Logged out,174.254.224.250,notice
2014-02-22 12:18:26,Jeff,GPAC System successfully authenticated,66.87.119.71,notice
2014-02-22 12:18:31,Jeff,Accessed Overview,66.87.119.71,info
2014-02-22 12:19:00,Jeff,Accessed Device Table,66.87.119.71,info
2014-02-24 17:31:52,Jeff,GPAC System successfully authenticated,192.168.1.148,notice
2014-02-24 17:31:53,Jeff,Accessed Overview,192.168.1.148,info
